# Frequency, S11, S12, S21, S22
9.598446757405924797e+07,-6.000093227399999618e-01,-6.612949547099999847e+01,-6.553364638399999365e+01,-6.070207144200000515e-01
9.598847077662129700e+07,-6.006375165999999766e-01,-6.623165977300000407e+01,-6.521384517799999969e+01,-6.054234943799999824e-01
9.599247397918334603e+07,-6.007042797999999628e-01,-6.547282073899999943e+01,-6.524151689999999348e+01,-6.077136246200000036e-01
9.599647718174539506e+07,-5.994704820899999786e-01,-6.622731495300000404e+01,-6.568844702600000574e+01,-6.078514395999999875e-01
9.600048038430744410e+07,-6.016876882999999676e-01,-6.585861207199999967e+01,-6.633195402200000501e+01,-6.083809451299999616e-01
9.600448358686949313e+07,-6.010066674199999737e-01,-6.457748460099999477e+01,-6.606601464199999896e+01,-6.059298630999999657e-01
9.600848678943154216e+07,-6.002843566300000155e-01,-6.592067060200000128e+01,-6.648366066699999521e+01,-6.070774181500000477e-01
9.601248999199359119e+07,-6.028270691599999509e-01,-6.448471960099999478e+01,-6.542281616900000074e+01,-6.064096228899999996e-01
9.601649319455564022e+07,-6.016058658699999784e-01,-6.548766207399999928e+01,-6.602027475399999901e+01,-6.093739880399999809e-01
9.602049639711768925e+07,-6.018808820000000059e-01,-6.395156787500000206e+01,-6.442835793599999761e+01,-6.080090020899999725e-01
9.602449959967973828e+07,-6.031201245299999680e-01,-6.471864023300000213e+01,-6.541367907699999762e+01,-6.095494113699999605e-01
9.602850280224178731e+07,-6.026744708300000308e-01,-6.500731826000000524e+01,-6.479563754100000494e+01,-6.083860165800000219e-01
9.603250600480383635e+07,-6.050514267700000115e-01,-6.335562245599999898e+01,-6.375879584599999816e+01,-6.085546680000000208e-01
9.603650920736588538e+07,-6.008844520099999587e-01,-6.426589225899999747e+01,-6.299632594500000238e+01,-6.093864575599999833e-01
9.604051240992794931e+07,-6.035225589399999535e-01,-6.286340389899999792e+01,-6.501539618299999290e+01,-6.088949666699999819e-01
9.604451561248999834e+07,-6.051763879599999507e-01,-6.284855607299999747e+01,-6.292722563099999888e+01,-6.082841889400000257e-01
9.604851881505204737e+07,-6.056468887899999487e-01,-6.317161809099999914e+01,-6.214775440300000042e+01,-6.095463308799999869e-01
9.605252201761409640e+07,-6.043002202999999684e-01,-6.239369343199999918e+01,-6.203504525000000314e+01,-6.129404079700000452e-01
9.605652522017614543e+07,-6.056220684699999968e-01,-6.152348512700000072e+01,-6.123897725199999797e+01,-6.112851094000000263e-01
9.606052842273819447e+07,-6.031309510300000287e-01,-6.098892413600000140e+01,-6.175318463800000046e+01,-6.113675426000000357e-01
9.606453162530024350e+07,-6.059804429099999723e-01,-6.095220383899999916e+01,-6.092399063399999903e+01,-6.134643015999999838e-01
9.606853482786229253e+07,-6.055375265500000381e-01,-6.101627489599999876e+01,-6.086394410900000196e+01,-6.114285332600000178e-01
9.607253803042434156e+07,-6.057149747200000212e-01,-6.020192110899999705e+01,-5.961877108600000241e+01,-6.132762597399999960e-01
9.607654123298639059e+07,-6.063097332400000372e-01,-6.012762423299999881e+01,-5.989170337000000188e+01,-6.131739804000000404e-01
9.608054443554843962e+07,-6.071879152000000390e-01,-5.928752905599999679e+01,-5.973453833699999649e+01,-6.129900845000000320e-01
9.608454763811048865e+07,-6.074330693099999623e-01,-5.900500828199999859e+01,-5.883452063699999712e+01,-6.133348911999999542e-01
9.608855084067253768e+07,-6.085601214500000467e-01,-5.877529450200000127e+01,-5.918764626400000139e+01,-6.138477025099999818e-01
9.609255404323458672e+07,-6.067943834700000316e-01,-5.817332186899999869e+01,-5.876930272399999922e+01,-6.152719555300000254e-01
9.609655724579663575e+07,-6.073995642099999648e-01,-5.789052222600000164e+01,-5.827402712800000018e+01,-6.148032608500000329e-01
9.610056044835868478e+07,-6.103224600800000177e-01,-5.797757922000000264e+01,-5.837282068700000082e+01,-6.160217679199999630e-01
9.610456365092073381e+07,-6.080918382100000130e-01,-5.810214800100000332e+01,-5.795920697599999727e+01,-6.159611712000000461e-01
9.610856685348278284e+07,-6.090562264500000156e-01,-5.798249437700000186e+01,-5.817811149100000279e+01,-6.159001099299999948e-01
9.611257005604483187e+07,-6.072770957899999988e-01,-5.827249955199999931e+01,-5.807839435300000019e+01,-6.166066792300000099e-01
9.611657325860688090e+07,-6.088523369999999657e-01,-5.748348845299999965e+01,-5.762842515599999871e+01,-6.181080022599999557e-01
9.612057646116892993e+07,-6.092087768599999675e-01,-5.776262859700000263e+01,-5.824098508899999871e+01,-6.181378883500000532e-01
9.612457966373097897e+07,-6.119875662499999480e-01,-5.751499564400000253e+01,-5.753863057000000225e+01,-6.181462994499999919e-01
9.612858286629302800e+07,-6.093808298699999737e-01,-5.755278676999999732e+01,-5.791094969499999934e+01,-6.188876483599999867e-01
9.613258606885507703e+07,-6.086791089299999902e-01,-5.767380356900000038e+01,-5.748637718199999824e+01,-6.180396271400000474e-01
9.613658927141714096e+07,-6.111135878200000260e-01,-5.767758499100000336e+01,-5.820542475199999899e+01,-6.187702415000000400e-01
9.614059247397918999e+07,-6.111289755400000079e-01,-5.829035505699999931e+01,-5.810112975199999852e+01,-6.183901631799999521e-01
9.614459567654123902e+07,-6.119369845500000071e-01,-5.821573819900000046e+01,-5.771940828999999695e+01,-6.187278792999999499e-01
9.614859887910328805e+07,-6.130635610100000354e-01,-5.786557751099999791e+01,-5.853650741700000282e+01,-6.186405996099999527e-01
9.615260208166533709e+07,-6.147122590600000436e-01,-5.847641619200000207e+01,-5.858250759300000254e+01,-6.203761922599999590e-01
9.615660528422738612e+07,-6.143646772499999908e-01,-5.821444584900000052e+01,-5.868267327800000288e+01,-6.211862828899999966e-01
