# Frequency, S11, S12, S21, S22
9.588038430744595826e+07,-6.034071964599999616e-01,-6.507072326499999804e+01,-6.429146993499999496e+01,-6.026104966899999971e-01
9.588438751000800729e+07,-6.048738706099999751e-01,-6.602786320699999578e+01,-6.456446259599999848e+01,-5.997838494699999634e-01
9.588839071257005632e+07,-6.043669132100000230e-01,-6.727883295799999530e+01,-6.522338761400000351e+01,-6.037325108400000140e-01
9.589239391513210535e+07,-6.037574328300000515e-01,-6.634521363999999721e+01,-6.553101181300000633e+01,-6.026358650399999961e-01
9.589639711769415438e+07,-6.052684740799999519e-01,-6.499835403299999825e+01,-6.535057107400000120e+01,-6.018216090700000409e-01
9.590040032025620341e+07,-6.049739471299999671e-01,-6.506346816399999966e+01,-6.610303948199999979e+01,-6.038273049200000298e-01
9.590440352281825244e+07,-6.025566658600000070e-01,-6.459753121299999634e+01,-6.444390044300000397e+01,-6.030163967099999578e-01
9.590840672538030148e+07,-6.059982487599999690e-01,-6.519032491900000537e+01,-6.463112971699999321e+01,-6.014233726200000074e-01
9.591240992794235051e+07,-6.032942244800000298e-01,-6.563737958599999445e+01,-6.471024570900000583e+01,-6.026402562899999538e-01
9.591641313050439954e+07,-6.036008182700000058e-01,-6.565601612700000089e+01,-6.474187577499999691e+01,-6.027417738500000510e-01
9.592041633306644857e+07,-6.032869082299999741e-01,-6.540995347800000559e+01,-6.576158470999999395e+01,-6.033539096600000207e-01
9.592441953562849760e+07,-6.051536045500000016e-01,-6.518556053300000031e+01,-6.548919563699999458e+01,-6.020007418399999644e-01
9.592842273819054663e+07,-6.048162871100000171e-01,-6.545262366299999712e+01,-6.522473116000000459e+01,-6.026372108799999960e-01
9.593242594075259566e+07,-6.044525200700000545e-01,-6.583080558899999346e+01,-6.516950430699999686e+01,-6.021116205500000040e-01
9.593642914331464469e+07,-6.038164101099999792e-01,-6.472969665300000486e+01,-6.462768093500000077e+01,-6.022297134899999849e-01
9.594043234587670863e+07,-6.042019248400000153e-01,-6.611676383399999679e+01,-6.617026335200000631e+01,-6.024941149300000465e-01
9.594443554843875766e+07,-6.040124681599999823e-01,-6.605937359899999706e+01,-6.488803488599999980e+01,-6.047006339499999550e-01
9.594843875100080669e+07,-6.029968208799999507e-01,-6.478896407300000249e+01,-6.546971537999999669e+01,-6.031391121700000468e-01
9.595244195356285572e+07,-6.052242403900000012e-01,-6.537095810099999937e+01,-6.514902297599999770e+01,-6.022305308900000043e-01
9.595644515612490475e+07,-6.054715909500000270e-01,-6.568598031099999446e+01,-6.563363963199999773e+01,-6.037087665400000525e-01
9.596044835868695378e+07,-6.061347346900000099e-01,-6.490194697900000165e+01,-6.464025383499999577e+01,-6.057528976899999584e-01
9.596445156124900281e+07,-6.048537074299999983e-01,-6.580126581099999328e+01,-6.576288949000000628e+01,-6.050727171999999987e-01
9.596845476381105185e+07,-6.061819178699999755e-01,-6.418530811799999469e+01,-6.526475262600000349e+01,-6.051688044099999830e-01
9.597245796637310088e+07,-6.061805902100000365e-01,-6.496438837700000590e+01,-6.624173997900000188e+01,-6.069576085000000232e-01
9.597646116893514991e+07,-6.047394712600000499e-01,-6.546997617300000627e+01,-6.523794575700000564e+01,-6.051259903400000306e-01
9.598046437149719894e+07,-6.054176783400000428e-01,-6.664464747600000294e+01,-6.607979822900000499e+01,-6.053046316700000373e-01
9.598446757405924797e+07,-6.057561287299999542e-01,-6.354228290999999729e+01,-6.396000870700000007e+01,-6.067070057600000288e-01
9.598847077662129700e+07,-6.092488116299999978e-01,-6.425298482200000194e+01,-6.692230022399999712e+01,-6.052021331200000409e-01
9.599247397918334603e+07,-6.071861960100000122e-01,-6.620102589299999352e+01,-6.661418149099999653e+01,-6.055055006599999734e-01
9.599647718174539506e+07,-6.080735344600000092e-01,-6.629838513200000705e+01,-6.470790655499999389e+01,-6.076285510500000209e-01
9.600048038430744410e+07,-6.059685366200000534e-01,-6.576904376100000604e+01,-6.583676739300000236e+01,-6.075334123000000197e-01
9.600448358686949313e+07,-6.074991294999999569e-01,-6.519127600999999572e+01,-6.429839228100000526e+01,-6.064301665500000382e-01
9.600848678943154216e+07,-6.082886514099999919e-01,-6.459270945400000130e+01,-6.698510722800000394e+01,-6.093477451700000103e-01
9.601248999199359119e+07,-6.070645383299999587e-01,-6.489800825899999381e+01,-6.451725571400000092e+01,-6.085367395599999840e-01
9.601649319455564022e+07,-6.077489877899999726e-01,-6.460587749299999416e+01,-6.560246589199999789e+01,-6.091644257499999604e-01
9.602049639711768925e+07,-6.096566694599999670e-01,-6.561139851100000442e+01,-6.538056305599999973e+01,-6.083768851499999908e-01
9.602449959967973828e+07,-6.075787557999999811e-01,-6.486279914600000041e+01,-6.573328515299999708e+01,-6.072962742799999925e-01
9.602850280224178731e+07,-6.091534652300000241e-01,-6.520718903300000591e+01,-6.570507641199999682e+01,-6.098541673799999785e-01
9.603250600480383635e+07,-6.115564551600000121e-01,-6.452214527900000007e+01,-6.528113502700000481e+01,-6.113404587799999845e-01
9.603650920736588538e+07,-6.107957064800000335e-01,-6.553172008600000709e+01,-6.622281057300000384e+01,-6.110916285299999862e-01
9.604051240992794931e+07,-6.120969932299999972e-01,-6.590894444799999974e+01,-6.471406271700000445e+01,-6.101341303599999710e-01
9.604451561248999834e+07,-6.102335308499999833e-01,-6.533451967099999536e+01,-6.720556260399999360e+01,-6.106919220300000006e-01
9.604851881505204737e+07,-6.126085826899999587e-01,-6.644374420699999462e+01,-6.494203087399999674e+01,-6.094166051899999603e-01
9.605252201761409640e+07,-6.117487843400000180e-01,-6.620696351499999821e+01,-6.482895597499999951e+01,-6.124265219600000254e-01
9.605652522017614543e+07,-6.112226771500000044e-01,-6.525778152399999499e+01,-6.391835074899999825e+01,-6.133799274100000254e-01
9.606052842273819447e+07,-6.104332031200000452e-01,-6.634564392900000485e+01,-6.674370581200000174e+01,-6.124747198600000164e-01
9.606453162530024350e+07,-6.138420963199999747e-01,-6.633382323700000427e+01,-6.471805728600000407e+01,-6.125163483200000147e-01
9.606853482786229253e+07,-6.125425862000000166e-01,-6.599987482299999897e+01,-6.514726551299999358e+01,-6.121098439400000091e-01
9.607253803042434156e+07,-6.152543878599999738e-01,-6.632540740100000676e+01,-6.503327964099999292e+01,-6.120329691000000460e-01
9.607654123298639059e+07,-6.144011700799999476e-01,-6.469594249200000036e+01,-6.420193380599999955e+01,-6.127139917599999652e-01
9.608054443554843962e+07,-6.134058544499999543e-01,-6.398962134399999968e+01,-6.547329709100000628e+01,-6.144254676899999490e-01
9.608454763811048865e+07,-6.149966930900000461e-01,-6.475722455300000036e+01,-6.503407928599999366e+01,-6.140826432299999471e-01
9.608855084067253768e+07,-6.169898439300000037e-01,-6.574932162000000346e+01,-6.547994235900000604e+01,-6.155799610800000154e-01
9.609255404323458672e+07,-6.166793380199999675e-01,-6.453469696099999453e+01,-6.468683629000000224e+01,-6.166652712800000380e-01
9.609655724579663575e+07,-6.164120044999999992e-01,-6.549103494700000283e+01,-6.527782331900000656e+01,-6.158769772900000161e-01
9.610056044835868478e+07,-6.170391400300000440e-01,-6.446651898300000028e+01,-6.426197959900000001e+01,-6.173581595399999511e-01
9.610456365092073381e+07,-6.151935644799999547e-01,-6.597076194800000337e+01,-6.619869960699999467e+01,-6.172037542099999552e-01
9.610856685348278284e+07,-6.190245811600000314e-01,-6.480348959200000536e+01,-6.640605349099999444e+01,-6.151196184199999584e-01
9.611257005604483187e+07,-6.192911087200000386e-01,-6.523518328100000474e+01,-6.575378809900000476e+01,-6.168142140600000323e-01
